"","bin","n"
"1","Dasyprocta leporina",57
"2","Cuniculus paca",30
"3","Mazama sp",16
"4","Didelphis imperfecta",8
"5","Eira barbara",8
"6","Nasua nasua",8
"7","Tapirus terrestris",7
"8","Mazama nemorivaga",5
"9","Cabassous unicinctus",3
"10","Mazama americana",2
"11","Cebus olivaceus",1
"12","Leopardus pardalis",1
"13","Metachirus nudicaudatus",1
"14","Panthera onca",1
"15","Puma concolor",1
"16","Tamandua tetradactyla",1
